Tipo de identificación,ID. Cliente,Saldo de aportes,Valor aporte mensual,Saldo aportes ordinarios,Saldo aportes extraordinarios,Valor revalorización,Monto promedio año,Ultima fecha de pago
C,51151,679512.0,13000,679512.0,0,0,651727,2024-07-09
C,10405,1968463.0,13000,1968463.0,0,0,1831560,2024-09-27
C,45227,819365.0,13000,819365.0,0,0,781976,2024-09-16
C,51843,1637652.0,13000,1637652.0,0,0,1594552,2024-09-27
C,47663,395504.0,13000,395504.0,0,0,395504,2022-03-31
C,23149,106511.0,13000,106511.0,0,0,106511,2022-03-31
C,18590,145425.0,13000,145425.0,0,0,145425,2022-03-31
C,36607,26231.0,13000,26231.0,0,0,26231,2022-03-31
C,42307,371258.0,13000,371258.0,0,0,371258,2022-03-31
C,27337,601298.0,13000,601298.0,0,0,601298,2023-12-13
I,13949,32493.0,13000,32493.0,0,0,32493,2022-12-24
I,31120,31196.0,13000,31196.0,0,0,31196,2023-02-22
C,23148,57639.0,13000,57639.0,0,0,57639,2023-02-22
C,36606,110910.0,13000,110910.0,0,0,110910,2023-04-20
C,23147,51692.0,13000,51692.0,0,0,51692,2023-02-22
C,6134,239595.0,13000,239595.0,0,0,188259,2024-08-31
C,40004,242281.0,13000,242281.0,0,0,242281,2022-03-31
C,6133,307781.0,13000,307781.0,0,0,307781,2023-10-31
C,23146,140144.0,13000,140144.0,0,0,140144,2022-03-31
C,6114,107914.0,13000,107914.0,0,0,107914,2022-03-31
C,36599,139816.0,13000,139816.0,0,0,139816,2022-03-31
C,13940,27218.0,13000,27218.0,0,0,27218,2022-03-31
C,6113,75450.0,13000,75450.0,0,0,75450,2022-11-23
C,23129,53904.0,13000,53904.0,0,0,53904,2023-05-24
C,23128,29973.0,13000,29973.0,0,0,29973,2022-03-31
C,13939,58395.0,13000,58395.0,0,0,58395,2022-11-23
C,13938,180473.0,13000,180473.0,0,0,180473,2022-03-31
C,6112,36924.0,13000,36924.0,0,0,36924,2022-03-31
C,6111,39269.0,13000,39269.0,0,0,39269,2022-03-31
C,25586,1953627.0,13000,1953627.0,0,0,1953627,2023-12-15
C,27329,63832.0,13000,63832.0,0,0,63832,2022-11-23
C,18585,195451.0,13000,195451.0,0,0,195451,2022-03-31
C,33361,66165.0,13000,66165.0,0,0,66165,2022-03-31
C,6110,105483.0,13000,105483.0,0,0,105483,2022-03-31
C,13937,75721.0,13000,75721.0,0,0,75721,2022-12-24
C,13936,10556.0,13000,10556.0,0,0,10556,2022-03-31
C,6109,224349.0,13000,224349.0,0,0,224349,2022-03-31
C,13935,287456.0,13000,287456.0,0,0,284514,2024-02-29
C,23127,147998.0,13000,147998.0,0,0,147998,2022-03-31
C,27328,69993.0,13000,69993.0,0,0,69993,2022-03-31
C,10353,1469981.0,13000,1469981.0,0,0,1405693,2024-09-30
